subject, acc_mean, acc_std, f1_mean, f1_std
1,0.602430556,0.069487834,0.581684046,0.083213891
2,0.375347222,0.027393171,0.266515676,0.029121385
3,0.818402778,0.013019676,0.814087194,0.014331479
4,0.521875,0.05711357,0.49065387,0.073159653
5,0.459375,0.032173844,0.354750065,0.036962405
6,0.478819444,0.016846541,0.423220689,0.017635295
7,0.713194444,0.038499414,0.701311114,0.041512856
8,0.675,0.042968662,0.662723313,0.047379457
9,0.652430556,0.014706819,0.623439542,0.017374105
average,0.588541667,0.132808755,0.546487279,0.166570203
