subject, fold, accuracy, f1-score
1,0,0.522569444,0.496509852
1,1,0.534722222,0.482840579
1,2,0.637152778,0.621298756
1,3,0.605902778,0.600957967
1,4,0.711805556,0.706813077
2,0,0.388888889,0.285283863
2,1,0.380208333,0.259735341
2,2,0.340277778,0.23599902
2,3,0.416666667,0.312787731
2,4,0.350694444,0.238772423
3,0,0.819444444,0.818064962
3,1,0.831597222,0.82724388
3,2,0.807291667,0.801145445
3,3,0.833333333,0.830180907
3,4,0.800347222,0.793800773
4,0,0.467013889,0.422352867
4,1,0.491319444,0.458375569
4,2,0.612847222,0.605225493
4,3,0.473958333,0.421086915
4,4,0.564236111,0.546228508
5,0,0.428819444,0.343954168
5,1,0.473958333,0.347481983
5,2,0.418402778,0.303964143
5,3,0.46875,0.359914495
5,4,0.506944444,0.418435537
6,0,0.489583333,0.436234129
6,1,0.472222222,0.410376647
6,2,0.456597222,0.406688517
6,3,0.470486111,0.411233832
6,4,0.505208333,0.451570321
7,0,0.725694444,0.722418425
7,1,0.685763889,0.668188271
7,2,0.711805556,0.694124515
7,3,0.664930556,0.652440233
7,4,0.777777778,0.769384124
8,0,0.595486111,0.576033593
8,1,0.701388889,0.691311734
8,2,0.71875,0.710774491
8,3,0.690972222,0.684061574
8,4,0.668402778,0.651435174
9,0,0.651041667,0.622807308
9,1,0.649305556,0.619006399
9,2,0.640625,0.599925608
9,3,0.680555556,0.653976528
9,4,0.640625,0.621481864
